Username,Tweet
Maxim Bali,"RT @cinderilaa: baru tau maxim ada gofoodnya. mana harganya sama kaya kalo beli langsung lagi, nambah ongkir doang sih, 4000 doang."
cdt || ❤‍🩹🚨,@anothersidenela @binchotabin IYA ANJG MAXIM BEDA AMPE 10REBUAN LEBIH'
sythnm.nti🫧,"@mitheark Atogaaa coba pakeee maxim, lebih murahhh lagi dan di jakarta banyak maxim juga'"
OPFOL,-dips! cara top up saldo maxim lewat transfer bank gimana ya? udah coba search gugel tapi ga pahamm. Tolong diperbaikin dong maxim
Dian Arianti,Masa naik maxim cuma bisa cash
koo the kid,kacau si aneh banget maxim
yumara desayuno,@pablolorido ini aku bisa pake cash ko naik maxim
highlight,"@AdeqAnba baru tau ada aplikasi maxim, besok ah mau coba"
Maxim 🇳🇱 GR,hari ini termotivasi dari abang maxim
LIVINGMAN➐,maxim keren banget
Ratna Dg Bunga,"agaknya jauh beda ya hargaya dari gojek, mrahan maxim"
Ultra-MAGA Fascist,maxim best dah
Nani Nurhaini,@maxim_cho aplikasi maxim kok gini ya
Nani Nurhaini,@maxim_cho Sering naik maxim karena murah
uncle J,"hujan hujanan naik maxim, sehat sehat pak"
🌥,cara isi saldo maxim gimana min? @MaximBali'
Ngazrizal Zamzuri,Girlfriend : Aku cabar kau pergi pakai maxim baru kita boleh kahwin. https://t.co/NleMGgAd1y'
descull,gemesh ya abang maxim nya haha https://t.co/79UhemLsZl'
panggil aku omi🐺,foto kemarin kehujanan sama abang maxim https://t.co/m5sO4y4atH'
umrah2022aameen,"@hafsahnazam Akakk try semuaa apps driver kak,, teksi, maxim, airasia, in driver ha apa lagi.. Asal bkn grabbb!! lebiih suka maxim"
🏴Wong Ngapak 🇮🇩,@sizukaah Maxim ojol jaket kuning hadir di cilacap https://t.co/COvAcRIZbR'
v i,"Bye maxim, gua ga bakal pake pake ni apk lagi alias gua trauma berat anjing drivernya kek orgil semua'"
dell,lagi suka naik maxim karena banyak promonya
#空井大好き！~干物女~ สุเมตติกุล,trauma naik maxim
Arlalalalala,@MaximOjek Weh maxim mau cerita dah'
Arlalalalala,"WEH KALIAN PENGGUNA #MAXIM PERNAHKAH KALIAN DI CHAT TERUS2SAN SAMA ABANGNYA? PADAHAL DAH SELESAI ORDERAN, SAMPE DI TELPON JUGA https://t.co/zKy49lgSlT'"
Looybi,RT @looybi: PROMO MAXIM SAMAPAI 50%
transonlinewatchcom,"Pesan Taksi Online Maxim, Penumpang Mengaku Alami Pelecehan Seksual. https://t.co/noHSSD4sft'"
Dyngg,"Lek tak inget-inget, asli ga banget aku lapo senyum nang mas-mas supir maxim ambek dadah wkwk njeeerr.  Ampun ga banget https://t.co/oFH2TNlnrm'"
Agoss,@maxim_robl Terus banyak promo ya maxim
🦋♍️,besok harus pake maxim biar ga salah naik motor orang lagi
gaji,@doletti abang maxim apa abang maxim? ko kayanya deket gitu
Si Paling Soliter,nah motivasi itulah yg mendorong manusia untuk berbuat yah jadi apa itu maxim apriori. Moral manusia selalu ditentukan oleh perilakunya
Lan.,gak nyesel naik maxim
-,"tapi secara logika emang ga masuk sih bayangin ada 4 orang masuk mobil lu trus cuma dibayar 10k, maxim yang bener aja. https://t.co/gvtuxFDGM3'"
babY,"""barusan dapet driver maxim yang cerdas bgt cara ngomongnya tuh KEREN; easy-going :'"""
aufaaaaa,mau coba maxim buat morder makan siang ah
tepen,Kenapa maxim di daerah sunter susah nemunya ye'
Nesya,@maugimans @cim0li @FOODFESS2 Berasa abang nasgor kak haha.. btw aku make Maxim jg udah tahunan sih. https://t.co/eOWUdeMJrk'
(gemi),"@sleepyasfucc pake maxim pak, murah abis'"
stereotypes,"naik maxim, helm abangnya ada sticker One Piece sama Naruto langsung inget dia, bete mampus'"
it's not fine,"Definisi ""berapa lapis?"" ""RATUSAN!!"" Takut gue dibalik jaket gojek ada jaket indriver dan maxim'"
🅒ila,"*maxim food maksudnyaa, kok gofood sih'"
🅒ila,aku juga baru tau maxim ada buat foodnya. mana harganya sama kaya kalo beli langsung lagi
bubby,"Sekarang bisa order lewat Maxim ya guys, dan ada promo khusus di Maxim. Letsgoo. https://t.co/9bY0EN6Kqj https://t.co/BG5ZoqMST7'"
MaximBandaAceh,Banyak keunggulannya juga pakai maxim
Rebecca 🐰,"rek ada yang pernah pake jasa maxim a? mau nanya nanya, soalnya masih takut"
🍒,driver maxim makin kesini makin gajelas perasaan dulu engga hadeh kualitas parah'
zel🌹,@defjeno pas berangkat kalo ga salah 191k ka naik grab (udah sama tol dll) pas pulang aku pake maxim 170k udah sama\xe2\x80\xa6 https://t.co/EXNejp4KK1'
OPFOL 📌,"-dips! Permisi mau tanya, sebelumnya aku belum pernah pake maxim car, kalo dari tembalang ke sukun tarifnya berapa ya? Makasi'"
near 📌,@thestorykids @Stray_Kids jagoanku kang maxim nder https://t.co/eHlKSe9rZQ'
ジャジャユ ,"@desygenoveva_ Wah tulisannya disensor, sudah pasti itu maxim'"
💃🏻✨,"@convomf Maxim to the rescue ndeerr. Ga cuma di jogja sih, di solo juga ada'"
shaᥫ᭡,"pesen maxim jam 4 trs di cancel sm abangnya, nungguin smpe jam 5 ga dapet"" sampe ga jadi pergi. untung sabar gue'"
Teguh,"Kenapa tiap liat tulisan Maxim di jaket abang ojol, gw malah ingetnya majalah dewasa yak. Tua banget gua"
o,kecewa sm driver maxim :('
dillaaa,tolong banget ngga mau lagi aku naik maxim
MUHAMMAD RIZKI,"Sebenernya aplikasi ojol maxim tempat gue bermitra itu secara pendapatan paling kecil diantara dua aplikasi lain, grab dan gojek https://t.co/M2njQvctg3'"
ㄹ🩰INDIGO KOOTAR ARE COMING,"@chagijin @BTS_twt Semoga cocokk, tapi maxim biasanya enak kak'"
Dr Rainchuh,"Sehat terus abang maxim, hari ini full senyum"
uknowla,tiap hari naik maxim mulu astagfirullah https://t.co/JeKwcYhAjX'
zy,@Hafizzmohmad @EijaSignature @doqtahu bincang dgn boss.. dan cuba manage your time..selain grab boleh guna maxim juga https://t.co/ezlWViSkMW'
Mirai Kkot 🇵🇸,@EijaSignature @doqtahu Et nunggu maxim lama banget
lia,"@unnesmenfess Ada aplikasi yang namanya GRAB, MAXIM, GOJEK, pengguna android bisa download di playstore. https://t.co/OZceeTPbZl'"
maz AULIA,"Belakangan di jalanan ko orang pada aneh ya anjir, lagi nuggu maxim tiba tiba ada lah mba2 yg ngambil orang dia yg marah2. https://t.co/H3Ha7Y2VkU'"
ʍ ɑ 6 9 ղ մ ʍ,"Udah ga pernah pake Gojek lagi. Gofood selalu paling mahal ga ada promo. Gosend ga ada yg mau ambil, jadinya sekarang pake maxim https://t.co/kK1I7zI7Gp'"
Lim임,@meictwocent @boedakpop Derita 64gb ya mau pesen maxim aja harus lama banget downloadnya
Arsitek Milenial,@akunyangke16 Coba pakai Maxim'
hanyur,edan 30 menit order Grabcaratau Maxim gak ada yang ambil'
~CaptaiN~,"Jana pendapatan dengan perkhidmatan ""Maxim""! Ikuti pautan https://t.co/lAQXYX8Hdk atau masukkan kod promosi DRV109563640 semasa pendaftaran'"
michael leander,"Kalo mau naik maxim ke gue naik aja, tenang aja, bukan dajjal kok yang naik maxim sama gue..'"
cheon seo jin,Maxim nih makin kesini makin kesana yaa. Driver nya apalagi..Udah dapat promo. Masih ditagih harga non promo. https://t.co/ZlWeqqOyUs'
fastresp? klik wa di dm,"Harganya maxim murah banget, jauh banget sama si hijau"
ˋ,apasi driver maxim gajelas ngentot'
beritajatim,"Ojol Bakal Jadi Transportasi Umum, Begini Respon Grab, Gojek, dan Maxim. https://t.co/2wStdoIhSN'"
tahu kuningmu,@bilasauruss bilaa itu pake maxim ya? kalau boleh tau enak platform ijo apa yg ini?'
nabila mental breakdown era,demi allah abang maxim lama bangetttt'
everythingwithintn,promo maxim banyak
Puan Cuan,"@lalalalisalilyy Sampurasun! Ada promo saldo bonus 100k dari Maxim Sukabumi nih! Caranya gampang, tinggal download https://t.co/KOtxK6jwQG'"
Manusia Terpilih,Asem Maxim tidak tepat mulu tabrakan ama grab mulu dah
Puan Cuan,Pesan food di maxim juga murah
ti,"@Askrlfess Kalau maxim itu Otomatis nder, gabisa atur sndiri. Yg bisa atur sendiri itu indr1ver'"
Askrlfess,eh pke maxim ini bisa atur tarif yg mau dibayar apa sama kayak ojol lain yg otomatis?'
acaa,"akhirnya mandi cepet\xc2\xb2 terus gw keramas emang udh waktunya, habis itu Abang maxim nya udh dateng jadi gak sempet sisiran dulu \xf0\x9f\x98\xad\xf0\x9f\x98\xad'"
Noldy,"Aku ga pernah pakai maxim soalnya kurang menyakinkan sih, krn reviewnya jg kurang menyakinkan. Makanya lebih percaya sama gojek dan grab.'"
michael leander,Mampus maxim.. ga di kasih gue..'
WikiDPR 2,"#Kom5 MAXIM: Kami telah membantu para driver, penumpang juga keluarganya apabila mengalami kecelakaan atau kematian https://t.co/JsCHBDj1Wt'"
ayca,@minewjine lucunya maxim
lea,yahhhhh segala pake ngga bisa nyala motor maximnya
WikiDPR 2,#Kom5 Maxim: ... hal itu akan mengganggu sekali bukan hanya bagi kami pelaku bisnis tp jg bagi para pengguna https://t.co/gQk2VJGD8f'
WikiDPR 2,#Kom5 Maxim: Kami kurang sepakat jika kami diubah menjadi perusahaan transportasi dalam UU LLAJ https://t.co/aD27E5YAmt'
WikiDPR 2,"#Kom5 Lasarus @PDI_Perjuangan #Kalbar2: Kalau Gojek dan Maxim tidak melakukan pemotongan 6%, apa dasar Grab melakukannya https://t.co/20W6tCYhYJ'"
WikiDPR 2,"#Kom5 MAXIM: Idem dengan Go-jek, kami juga tidak melakukan pemungutan tersebut karena kami sistemnya masih kemitraan https://t.co/CDefXrKPqU'"
riska🍁,"@OOTDFESS Teflon maxim aja nder, karena kualitasnya bagus. https://t.co/YpxhGfUzmS'"
ellian👽,"maxim diperbaiki dong sistemnya, masa driver gak gerak gerak tapi estimasi sampai nya jalan terus. https://t.co/H3j1totEop'"
wiar,sangat disarankan naik maxim ketika sedang tiris uang
iyain_,"Maxim murah sih, tapi buang buang waktu buat nunggu nya .'"
transonlinewatchcom,"Komisi V DPR RI menyarankan ojek ojek online seperti maxim, goejk atau grab menjadi angkutan umum. https://t.co/AvXhYUi8g1'"
Rizal Kurnia Nurzali,Maxim nih agak degel gak driver e'
killj | Joki Pinjol,Bingung banget pake maxim anjiirrr kayaknya app perlu peningkatan huhuu https://t.co/eSa3PZ4Jge'
ミ,@adzra takpelah rezeki untuk abang abang grab or maxim'
Arif,Tolong diperbaiki lagi ya aplikasinya maxim
Amelina,"Mau memberikan apresiasi setinggi-tingginya kpd Gojek atau Grab atau Maxim, dan transportasi online lainnya yg telah membukakan lapangan pekerjaan https://t.co/70FhLw333W'"
Maxim Bali,"RT @MaximAceh: Pesanan makanan gampang kok di maxim, atau mau beli bahan masakan dapur di pasar? Gampang banget ada Maxim Foods"
Fuad Firmansyah,@trimelinda WKWKWK ini apa ca? maxim?'
ten.,Risau ye driver maxim ni kemarin friendly last last mengaku laki orang kesian bini kau di rumah tu la bang kau ni. https://t.co/1yPYCrw0AM'
Maxim Bali,@browniescho MJB - Terimakasih sudah menggunakan Maxim.  https://t.co/i33cMs4hhJ'
Maxim Bali,Pertama kali naik maxim udah gaenak aja
Maxim Bali,@yrpetrichor MJB - Terimakasih sudah menggunakan Maxim. https://t.co/BK1RGX0qOm'
@_@,"@aldyree Maxim dunia, mengantar bocah2 pergi menuntut ilmu, untuk indonesia lebih baik'"
ppirr,Tetep naik maxim walaupun drivernya problematic.  https://t.co/p6NEqlkggH'
sena,b'maxim soalnya murah https://t.co/t7GUzfnUQN'
ᶠYͧoͨᵏu,jadiin BA maxim please'
đẹp | polstud (semi gap '23),Naik maxim oke sih
FDNF,Sangat amat berterimakasih sama maxim
MESTRE MAXIM sep 🤍💚🐷,"Ga sia sia pesen maxim, datangnya cepet"
j,"btw gue dpt driver maxim motorna tinggi bgt gila, takut jatoh"
Müd⤮¹⁴³,RT @thestorykids: -tsk Ada ojek Maxim numpang nangkring dulu sambil cari penumpang @Stray_Kids https://t.co/jc8xRF0AFV'
badmood,"""Dear Abang maxim. Bang gantian yuk saya yg nyetir biar ngebut dikit ini kaya jalan kaki lamanya :')"""
ؘ,"ternyata maxim dari drivernya bisa ngubah harga jing, pantesan waktu itu harganya berubah dari 14k ke 18k https://t.co/rr2YsdRqT4'"
ubi cilembu,Kesel sama maxim yang kaga tau jalan pas lg urgent2 nya kirim paket penting tapi lama
ol,ada yang punya maxim ga huhu'
daisuke.,"@cloudsaday ok, maxim gk'"
Bola,Malah diajak muter muter sama abang maxim
akaa,Maxim penolong disaat urgent
nay • yg lagi garansi/ren apk prem sabar ya! •,Suka banget naik maxim wee
maxim 38% 📖 📖 📖 #BoricNoEstaSolo,Ngga kapok ko naik maxim
maxim,Murah bet ni maxim
deeve.,"Benerrr nder asli lo harus lihat dari 2 sisi jg, bukan dari sisi lo aja, maxim murah biayanya. https://t.co/vRVAzyogtC'"
aufia,"Terus kalo dia bener gabisa nemenin, dia tetep nyamperin dulu mastiin aku berangkat sma siapa dan aman ga. Akhirnya pergi naik maxim https://t.co/0D1ZGgdWd9'"
kieee,"abang maximnya gabut doang, jadi dikasih murah"
akaa,maxim murah  https://t.co/VpVXLuUAUm'
key 2.0 akun flop sama sedikit clean nya key,@micasapie Lagi memikirkan mu maxim'
key 2.0 akun flop sama sedikit clean nya key,"@micasapie Maxim kok cakep, boleh dinaikin ga ?'"
yas,"demi allah iya bgt, supir maxim suka minta argonya lebih gede dibanding yang dikasih dari aplikasi. https://t.co/7hSR2inO6f'"
Nani Nurhaini,"@maxim_cho baik banget bapak maximnyaa, seneng"
Nani Nurhaini,@maxim_cho Gua naik maxim ga kenapa napa ko
Nani Nurhaini,@maxim_cho Murah ya maxim
puffera 🐰🇲🇾,Btw ada kawan suggest maxim tapi aku berani nak pakai antara sebabnya  ada review tak bagus untuk passenger ladies :( takut ah nak try'
llorente,"First time narik maxim, gw beraniin narik di jam segini, customer nya agak melehoy gitu gw jadi ngeri anj. https://t.co/NhjWfMEval'"
Cece,@gashapun @coganbender artis gojek maxim sm grab yg ribut mulu sm abangny'
Æfif,RT @The_MentosMY: @anisjaffar_ @AskRapidKL Sebelum ada maxim biasanya naik gojek
ImZool,Si kuning maxim jadi andalanku
Maxim 🇳🇱 GR,Hari ini sekolah diantar mamang maxim
nora,Agak ngeri sih ya naik maxim kalau malem malem
nora,Dimana ya nyarinya maxim'
at least i try ✨😚,Semurah murah nya Maxim nggak mau gua pake tuh apk. Skip banget. Ketara mahal sekalian pake Gojek atau Grab'
Indonesia Wonderful Official,Gak mau lagi order maxim
Rajoubalak,"Bingung,knp ya 50rb untuk 2 hari gk cukup, Day pertama naek maxim 20rb,beli 2 botol minum 3rbuan,trus beli cemilan 10ribu. https://t.co/7VN23C3MrP'"
Bukan JKOM,RT @The_MentosMY: @anisjaffar_ @AskRapidKL Sebelum komen pakai otak ler. Aku ni dah try AA ride maxim gak kenapa napa
Subhan.,@Sauki_Futaki @haecven pesen maxim yang dateng temen sendiri'
The Mentos,cobain naik maxim deh
Vi,Maxim adalah penolong setiaku ketika males bawa motor
nanat,aku nunggu mas maxim hampir sejam:('
Danu,"Kalau sopir maxim ngechat 'Tc' tuh artinya apaan ya?"""
🐻,@tanyakanrl tadi naik maxim drivernya subhanallah cerewet bangetttttt'
adameji,@AskRapidKL Grab mahal nau. Kalau dapat pun fare 2-3 kali ganda and kena tunggu almost sejam. Maxim penolong https://t.co/fTWrIjA6nM'
bintangg,"setiap mau pergi liat dulu perbandingan harganya, maxim paling murah wkwk"
gestun fee murah,@snappingonetwo1 @i_m_mortal_ @jamalsmine Emang sering gitu kak Maxim. Aku juga pernah kejadian harganya diubah-ubah.  https://t.co/i82NVLB462'
aletlet,"serem bgt ada kecelakaan persis depan mata kalo kita maju dikit aja neng, kita kena juga kata abang maxim'"
FG,RT @muhamadhayyat: @anisjaffar_ @The_MentosMY @AskRapidKL Pilihan apa yang ada kak? Stuck pulul 11 malam sampai 12. Grab airasia indriver maxim
Mamat bukan Mad!,@anisjaffar_ @The_MentosMY @AskRapidKL Pilihan apa yang ada kak? Stuck pulul 11 malam sampai 12. Bisa dengan menggunakan maxim https://t.co/O65s2me5TK'
Looybi,Maxim suka pada gak jelas
The Mentos,@anisjaffar_ @AskRapidKL Naik maxim lebih murah dari gojek nder
🧞‍♀️,semoga makin sukses maxim mwahh https://t.co/Z8aByMuiwT'
Zilverescio Margudiliari,Kalo kata abang maxim harus semangat terus
🎈,"@snappingonetwo1 @i_m_mortal_ @jamalsmine kalo di kotaku sih aku lebi pilih indriver kak, soalnya maxim juga susah https://t.co/f9GZMSJnAE'"
thisisisna,"@satriajendral hari ini aku ada penyuluhan di kampus pusat, berangkatnya aku naik maxim, pulangnya ditebengin temen https://t.co/T4yPjNRlIc'"
BOLA.COM,Masa harga maxim diubah sama drivernya
s,kesekian kalinya ketiduran di abang maxim
𝙝𝙖𝙞𝙗𝙖𝙧𝙖𝙡𝙪𝙣𝙖,using maxim because i cheaper than grab and usually dapat driver yang sama. now driver ya pun dah familiar  https://t.co/p58Or7RfSH'
🐣,"Sekalinya pesen maxim buat berangkat kerja udah bilang sama drivernya bisa masuk gang agak sempit g pak? Bisa, Pas udh nyampe depan gang malah ga bisa https://t.co/VhZezK15oZ'"
Ayu Dewy Puspa,Urghhh stress sis tunggu Grab Indriver maxim AirAsia ni. Semua e hailing dok cuba. Satu pun takde. Dah dekat dua jam
Partai Gerindra,"Pernyataan tersebut dia ungkapkan saat RDPU Komisi V dgn Dirut PT Goto Gojek Tokopedia tbk, kemitraan maxim, dll https://t.co/TgkjdiFmhx'"
カラス,RT @west24_je: \maxim mantap https://t.co/svb6bGTWCr'
Una,pusing banget gara gara helm maxim yang kekecilan'
Slave Corporate 🦥,"tadi mau order maxim yang car tp ga dapet. akhirnya kebetulan ujan reda jadi pesen bike aja. pas gue minta helm, eh basah https://t.co/OyBWb7g38x'"
Mutikk✨,"@Ravanelli972 Halo ka, aku mengikuti rulus yg ada di maxim ya. Aku ga melebihi kapasitas juga."
snappingonetwo,@kiyutgurlz @i_m_mortal_ @jamalsmine Berhubung sore kalau jam kerja tarifnya agak menggila kak jadi terpaksa pake maxim tadi
☁︎˚｡⋆｡,"dianter jemput abang maxim ke pura kenjeran, kalo nunggu temen yang ada gajadi jadi sembahyang https://t.co/nX45oSYMNn'"
b,"gue juga pernah lagi sama bokap mau balik dari cp mau ke bekasi, tarifnya sktr 90kan, trus driver maximnya ngomong kalau harganya ngga segitu https://t.co/Tf2Bj210g9'"
llorente,"@convomfs Nanya maxim ke temen, karena gw baru daftar maxim https://t.co/3fB0Ku5bdx'"
tcob productions,@ShazrilMeen @nabilfikran10 Gune la maxim murah je'
Pino • PDKT,@kkohakuwibu Gak sekalian Rinne jadi abang maxim aja'
ekanila,"awal awal bingung banget make maxim gimana, tapi udah bisaa sekarang. Jadi sering pergi naik maxim"
🌻,cane lu kalo mau pulang telfon maxim aja https://t.co/XIK3bpwP84'
robby || 👻👻,first time naik Maxim kaget liat harganya jauh sama gojek.... biasanya ke rumah teh 18.000 naik Maxim cuma 11.000  https://t.co/vTv7mK0mQO'
Nopla,@UGM_FESS wkwk buka maxim janlupa'
Berita Olahraga,dapet harga murah di maxim
L̸̖̽̌͂,tp gatau sih gue masih di maxim nanti gue mau cari di tas tapi kemungkinan besar sih ketinggalan
€lsket,@snappingonetwo1 @jamalsmine @i_m_mortal_ yapp aku suka naik maxim semenjak ngekos buat bolak balik stasiun. https://t.co/zbfPkyhq34'
RubyRed,"RT @snappingonetwo1: @jamalsmine @i_m_mortal_ Ka @i_m_mortal_  numpang curhat sklian info nih yang mau pakai maxim harus lebih perhatian lagi, karen kadang lokasinya ga sesuai"
snappingonetwo,@jamalsmine @i_m_mortal_ Ka @i_m_mortal_  yang mau pakai maxim harus teliti ya karena kadang suka aneh gitu https://t.co/shWrYiPUVR'
Puan Cuan,Ini kenapa titik maxim ga akurat ya
gilga,Lagi pengen naik maxim karena murah
jessss,"Maxim cepet banget, baru order langsung dateng"
puan tri,Naik maxim ngga nunggu lama
ria aja,Ngebut banget niii abang maxim
terang bulan,"Biasanya kalau hujan pesen ojek online bakal mahal, tapi naik maxim ngga"
gasida,"Oke sih kalau mau naik maxim jarak jauh, soalnya lebih murah"
kilaaaa,@livenno @euneirocritic Naik maxim sat set sat set
dinda,@Byeon_baekhyun_ @restricteez gokil maxim
rani putri,Ga nyangka semurah ini si maxim
MaximBandaAceh,"Biar makin hemat naik maxim aja, banyak promonya"
MaximBandaAceh,Pesan makanan gampang kok di maxim https://t.co/C8KJL0tdCZ'
:D,pas di atas motor abang maxim gamood trs liat disebrang kokoh mengendarai motor wkwk yg tadinya cemberut langsung senyum tapi abis itu ya balik lagi'
NolanTV,[Daftar] SEBELUM MENYESAL..!! DAFTAR MAXIM OJEK ONLINE..!! https://t.co/HTr7wsFGTM'
ara🎀,itu kuning maxim kh https://t.co/aYb3oK35Pb'
trian,ini aplikasi maxim emang kaya gini ya? agak ribet
Yuliayaaa,Semalas ini sama maxim https://t.co/LPm4GOXC27'
llorente,Akhirnya maxim gw udh prioritas'
Tjok Khresna,@anamoelya aku nganggo maxim yo aman ki mbak'
hejo tihang,untung ada driver maxim beginilah tinggal di bali kagak ada motor sendiri  https://t.co/0HzqN6o0lM'
fi,@rommel_maxim murah juga pesan food di maxim
ardtnty,"@aprodyts 65rb kak, tp worth the price kok :) bisa kak pengiriman bisa maxim/paxel. Bisa pilih https://t.co/Te4YwoppOr'"
taroch♡,"sekaraang maxim parah, gamau nerima orderan yg mobil jarak deket dan beralih ke ijoo https://t.co/0QBwrwRY6S'"
Ash(y)_,Sedang berpikir mending pulang naik angkot apa maxim aja'
Manda Spector,MENDING GUE NAIK MAXIM SUMPAH'
"𝕾𝖑𝖞𝖙𝖍𝖊𝖗𝖎𝖓, Chel.",Maxim lah https://t.co/Qj9sGmnOe0'
frs,TOLONG PICK UP MAXIM KU AKU MAU PULANG'
Medina El Wardah,"Naik maxim tapi driver lagi pakai jaket gojek. Double agent. Untung ada potongan 10k. Makasih, maxim tahu aja https://t.co/Qc0CzhP5AE'"
americano,"RT @IdSinpo: Bahas Biaya Tarif Transportasi Online, Komisi V Gelar RDP dengan Grab, Gojek dan Maxim https://t.co/MbeV8zEAGN'"
Mas Aye,Mohon maaf @sheilands__ ini dari maxim terus ngomongin air asia apa nyambungnyaaaaa https://t.co/CZeMXS03SO'
Yosh,"hari ini kesibukan aku sudah setara manager, next ak mau daftar ceo maxim'"
sanin,maxim hari ini ngeselin bgt'
ꦲꦲꦸꦭ꧀,RT @dalangdigital: Respons Maxim yang nggak basa-basi.'
nurmanjaya,Respons Maxim yang nggak basa-basi. https://t.co/XBVoE7HJHL'
Bola,"Lagi males bawa mmotor, jadi naik maxim aja"
secang13,@maxim_cho Salam kenal ya pegguna baru maxim
na🥯,"aneh tadi abang maxim nelpon tp gaada panggilan masuk, gtu trus geter terus sepanjang hp ku idup kek ak bingung https://t.co/nTKEiS2YIV'"
na🥯,dipikir pikir ini semenjak ditelpon abang maxim tadi trus hp ku rusak
- tHIRTeEn -,Jantungan dibawa ngebut maxim
Indonesia bersatu lawan Corona,Kenapa lama banget maximnya
Bisnis.com,Asik dapet murah di maxim
Kak Lix.,@yourribssss @Ato9376 @Arifhidayat__ Disini ngga ada maxim
David Wijaya,"Hubungan Kemitraan, Gojek dan Maxim Tidak Potong Penghasilan Ojol untuk PPh 6 Persen... Wah Gojek dan Maxim aman https://t.co/IbBk4pjAmN'"
nono,bila nak pergi nasi ayam mak cili ni. rumah aku ke maxim tu less than 2km je
transonlinewatchcom,"Setiap mau pulang kerja pasti selallu ngebandingin harga, maxim juaranya"
아.,@sidoyanjajan Wkwkwk tp gua kalo zumba naik maxim
Min+,@smithygold @FOODFESS2 aku pake maxim dari dulu  https://t.co/NJtxcr4Icv'
Información Deportiva,Harga maxim ko bisa murah gini ya
Bisnis.com,"Ojol Mau Disulap Jadi Perusahaan Transportasi, Gojek, Grab, dan Maxim Mau? https://t.co/iSCSiMpK3O'"
David Wijaya,"DPR Sarankan Ojol Jadi Plat Kuning, Maxim Bilang Begini... Hmmm, bakal menjadi perdebatan ini... @adriansyahyasin\xe2\x80\xa6 https://t.co/dv0qcIQ9iz'"
RonalSaputra10,Komunitas maxim banyak juga
LED,kalau naik maxim untung untungan
bell❄,"@springstar_ km tkang ojek mat?? pengkolan atw onlen? klo onlen km tim grab, gojek, atw maxim??'"
Xx·badut·Xxx🤡,maxim kadang suka error
Ramad🍪nna St🍪re,"Kok bisa banyak orderan fiktif, kalian jahat yang suka fake order, kami ojol disini cari uang buat kelangsungan hidup, apalagi kadang suka pura pura jadi driver maxim https://t.co/rTSgOebuO2'"
Amel,"Seru amat playlist abang maxim ini, classic vintage music. Tp minusnya doi pke stella jeruk"
Willy,RT @KATADATAcoid: Pengemudi ojol dari maxim samapai gojek sampaikan keluhan potongan 6% PPh saat aksi unjuk rasa di Gedung DPR https://t.co/KfFG4CQSFr'
Katadata.co.id,Ramah juga abang maximnya
🐰,Ini driver maxim suka ada yang narik gojek juga ya
𓅭,@cim0li @FOODFESS2 Pake maxim yang murah dari awal pandemi
mumu,"Gue punya maxim, sering dipake juga"
transonlinewatchcom,kalau susah cari driver gojek atau grab naik maxim aja
Ra! REST.,kenapa ya maxim nyasar mulu anjay'
Maxim Bali,"RT @MaximAceh: Kamu lapar? Tenang, kamu nggak perlu repot masak apa-apa! Pesan makanan favorit kamu langsung di aplikasi Maxim."
Ramad🍪nna St🍪re,"Semoga ada rezekinya buat beli jaket ojol Maxim, biar jadi akun prioritas'"
Maxim Bali,Titik maxim suka ga sesuai
bundle of joy,@ezash tapi maxim masih belum pake ewallet
Vian,maxim baru bisa cash ya?
(´･_･`),Pengen naik maxim tapi banyak orang yang bilang katanya kurang nyaman
KLAsik driver,Harga maxim murah banget daripada gojek
Ares,Yang penting yakin kalau naik maxim mah
อารีย์ กุณณาวรรณ🍥,Bisa ngga si abang maxim ga usah aneh aneh
Adel,tadi aku naik maxim tapi helm nya gojek  https://t.co/XxGrU16qlv'
i am dinosaur,hari ini aku berangkat sama mas maxim lagi'
_jeongjaehyun,sedang otw bersama mamang maxim rosi ku'
~Bibin,emang kalo pagi paling bener naik maxim
harris kristanto,gapapa problematik yang penting murah
sa,"@aishiteiru_u @anginapectorist @FOOD_FESS Bisa pake grab, gosend, Maxim kak, kalo cod di area Ums sama colomadu'"
e láura arsh,"@amaaavr @moonareas ohhh gw inget, dlu gw pake maxim kann terus yaudah biasa aja"
17 of 355,sabar banget ini nunggu maxim dateng
dilladil,tumben maxim cepet biasanya lama
Maxim Rommel,app maxim tolong diperbaiki ya
Ruby,@FOOD_FESS Maxim punya aku suka ngga jelas
key,"@undipmenfess Haduh udah tau gojek atau grab mahal kecuali klo mau bayarin silahkan, gua mending naik maxim"
𝒆𝒋𝒂,"diperjalanan pulang ngantor tdi ngobrol sm abang maxim , cerita"" soal kehidupan. lah malah mewek sendiri  https://t.co/4F9Z1PbG0B'"
Danastri 🐺 ꦢꦤꦱ꧀ꦠꦿꦁ,kok replies-nya pada bilang Maxim bagus sih?!?! I have so many questions https://t.co/0NcQMufuoy'
Eko Nugroho,"RT @kumparan: Dari tiga aplikator ojol yang hadir, Maxim mengaku kecewa Menhub Budi sempat revisi aturan tarif ojol. "
DetikFinance,Seneng dapet tarif murah dari maxim
อารีย์ กุณณาวรรณ🍥,Maxim bisa diandalkan kapanpun dimanapun
Bisnis.com,"Potongan Driver Ojol Tinggi? Gojek, Grab, Maxim Beri Penjelasan https://t.co/DuJG0wD0Fi'"
